"obsize_mb","dep_var","violence_var","int","n","BIC","AIC","country_rounds","country_rounds_list"
29.786176,"ethnic_fairtreat_ord","expo_5yr_25km_bin","no_int",48947,132375.477307579,132032.336066576,32,"MLI/6;LBR/4;GIN/6;GIN/5;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;CMR/6;NGA/5;NGA/3;NGA/4;NGA/2;ZAF/3;ZWE/2;ZWE/6;ZWE/4;ZWE/5;BDI/5;UGA/2;TZA/3;TZA/2;UGA/5;KEN/6;KEN/2;KEN/5;KEN/3;KEN/4;MDG/6;MDG/5"
3.488544,"ethnic_fairtreat_ord","expo_reb_5yr_25km_bin","EOSV_rebel",8857,24466.1496929694,24359.8152421823,6,"LBR/4;CIV/5;BDI/5;KEN/6;KEN/5;KEN/4"
4.034,"ethnic_fairtreat_ord","expo_reb_5yr_25km_bin","no_int",9567,26298.0565651555,26197.731515776,7,"DZA/6;LBR/4;CIV/5;BDI/5;KEN/6;KEN/5;KEN/4"
8.388112,"ethnic_id_ord","expo_5yr_25km_bin","EOSV_state",17376,52205.5733747194,52050.3164702648,11,"MLI/6;LBR/4;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;NGA/5;NGA/3;NGA/4;BDI/5"
24.7588,"ethnic_id_ord","expo_5yr_25km_bin","no_int",41980,127699.151909617,127413.868606035,26,"MLI/6;LBR/4;GIN/6;GIN/5;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;CMR/6;NGA/5;NGA/3;NGA/4;ZAF/3;ZWE/6;ZWE/4;ZWE/5;BDI/5;TZA/3;UGA/5;KEN/6;KEN/5;KEN/3;KEN/4;MDG/6;MDG/5"
3.570176,"ethnic_id_ord","expo_reb_5yr_25km_bin","EOSV_rebel",9192,27556.42306137,27449.5317290771,6,"LBR/4;CIV/5;BDI/5;KEN/6;KEN/5;KEN/4"
4.110016,"ethnic_id_ord","expo_reb_5yr_25km_bin","no_int",9895,29712.0905957504,29611.2936077379,7,"DZA/6;LBR/4;CIV/5;BDI/5;KEN/6;KEN/5;KEN/4"
17.292304,"ethnic_fairtreat_ord","expo_25km_bin","EOSV_state",31308,80840.3831459983,80573.1310200808,23,"MLI/6;MLI/3;MLI/4;MLI/2;LBR/6;LBR/4;LBR/5;MLI/5;SEN/4;SEN/3;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NER/5;NER/6;NGA/6;NGA/5;NGA/3;NGA/4;NGA/2;BDI/5"
78.572888,"ethnic_fairtreat_ord","expo_25km_bin","no_int",91655,244689.99473911,244030.18966261,63,"MLI/6;MLI/3;MLI/4;MLI/2;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;MLI/5;SLE/6;SLE/5;SEN/4;SEN/3;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;TGO/6;TGO/5;NER/5;NER/6;NGA/6;CMR/6;NGA/5;NGA/3;NGA/4;NGA/2;CMR/5;NAM/6;NAM/2;NAM/3;NAM/5;NAM/4;ZAF/5;ZAF/4;ZAF/6;ZAF/3;ZAF/2;ZWE/2;ZWE/6;ZWE/4;ZWE/5;BDI/5;UGA/6;UGA/2;TZA/6;TZA/3;TZA/5;TZA/2;UGA/3;TZA/4;UGA/5;UGA/4;SWZ/6;KEN/6;KEN/2;KEN/5;KEN/3;KEN/4;MDG/6;MDG/5"
14.071568,"ethnic_fairtreat_ord","expo_reb_25km_bin","EOSV_rebel",28148,75968.8808361459,75738.0143518195,19,"MLI/6;MLI/3;MLI/4;LBR/6;LBR/4;LBR/5;SLE/6;SLE/5;CIV/6;CIV/5;NGA/6;ZAF/5;ZAF/4;ZAF/6;ZAF/3;BDI/5;KEN/6;KEN/5;KEN/4"
56.955088,"ethnic_fairtreat_ord","expo_reb_25km_bin","no_int",74691,201496.310077683,200952.264299649,52,"MLI/6;MLI/3;MLI/4;DZA/6;MAR/6;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;SLE/6;SLE/5;SEN/4;SEN/3;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;CMR/6;NGA/5;NGA/3;NAM/6;NAM/2;NAM/3;NAM/5;NAM/4;ZAF/5;ZAF/4;ZAF/6;ZAF/3;ZAF/2;ZMB/3;ZMB/2;ZWE/2;ZWE/6;ZWE/4;BDI/5;UGA/6;UGA/2;UGA/3;UGA/5;UGA/4;MOZ/5;MOZ/4;MOZ/6;MOZ/2;MOZ/3;KEN/6;KEN/5;KEN/4"
15.330656,"ethnic_id_ord","expo_25km_bin","EOSV_state",27912,85125.3415737686,84886.4740262655,20,"MLI/6;MLI/3;MLI/4;LBR/6;LBR/4;LBR/5;MLI/5;SEN/4;SEN/3;SEN/6;SEN/5;CIV/6;CIV/5;NER/5;NER/6;NGA/6;NGA/5;NGA/3;NGA/4;BDI/5"
