"obsize_mb","dep_var","violence_var","int","n","BIC","AIC","country_rounds","country_rounds_list"
45.956088,"ethnic_id","expo_reb_bf5yr_10km_bin","no_int",34674,26501.2927078632,26230.7728548858,26,"MLI/6;MLI/3;MLI/4;DZA/6;MAR/6;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;CIV/6;CIV/5;NGA/6;NGA/5;NAM/6;NAM/2;NAM/3;NAM/5;NAM/4;BDI/5;MOZ/5;MOZ/4;MOZ/6;MOZ/2;MOZ/3;KEN/6"
22.861704,"ethnic_fairtreat","expo_2yr_25km_bin","EOSV_state",17891,19823.7113854234,19675.6623770537,11,"MLI/6;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;NGA/5;NGA/3;NGA/4;NGA/2"
44.758792,"ethnic_fairtreat","expo_2yr_25km_bin","no_int",32226,35845.9434518444,35619.6691726478,21,"MLI/6;GIN/5;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;CMR/6;NGA/5;NGA/3;NGA/4;NGA/2;ZWE/2;ZWE/4;ZWE/5;TZA/2;KEN/6;KEN/2;KEN/5;KEN/4"
8.87088,"ethnic_fairtreat","expo_reb_2yr_25km_bin","EOSV_rebel",7747,8019.13855957367,7928.72276721545,5,"LBR/4;BDI/5;KEN/6;KEN/5;KEN/4"
11.087208,"ethnic_fairtreat","expo_reb_2yr_25km_bin","no_int",8457,8676.61307858388,8592.1000812265,6,"DZA/6;LBR/4;BDI/5;KEN/6;KEN/5;KEN/4"
23.292912,"ethnic_id","expo_2yr_25km_bin","EOSV_state",18645,18794.0286722236,18645.195339664,11,"MLI/6;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;NGA/5;NGA/3;NGA/4;NGA/2"
46.46324,"ethnic_id","expo_2yr_25km_bin","no_int",34923,30439.4596148411,30211.0152900844,21,"MLI/6;GIN/5;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;CMR/6;NGA/5;NGA/3;NGA/4;NGA/2;ZWE/2;ZWE/4;ZWE/5;TZA/2;KEN/6;KEN/2;KEN/5;KEN/4"
9.03164,"ethnic_id","expo_reb_2yr_25km_bin","EOSV_rebel",8054,4836.02356878298,4745.10255494463,5,"LBR/4;BDI/5;KEN/6;KEN/5;KEN/4"
11.240728,"ethnic_id","expo_reb_2yr_25km_bin","no_int",8757,5261.1325109617,5176.20120704743,6,"DZA/6;LBR/4;BDI/5;KEN/6;KEN/5;KEN/4"
25.824424,"ethnic_fairtreat","expo_5yr_25km_bin","EOSV_state",20082,21461.2818804176,21295.2227178384,13,"MLI/6;LBR/4;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;NGA/5;NGA/3;NGA/4;NGA/2;BDI/5"
70.31036,"ethnic_fairtreat","expo_5yr_25km_bin","no_int",48947,51099.3471623057,50765.0044146617,32,"MLI/6;LBR/4;GIN/6;GIN/5;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;CMR/6;NGA/5;NGA/3;NGA/4;NGA/2;ZAF/3;ZWE/2;ZWE/6;ZWE/4;ZWE/5;BDI/5;UGA/2;TZA/3;TZA/2;UGA/5;KEN/6;KEN/2;KEN/5;KEN/3;KEN/4;MDG/6;MDG/5"
10.217216,"ethnic_fairtreat","expo_reb_5yr_25km_bin","EOSV_rebel",8857,9140.08225263843,9040.8367652371,6,"LBR/4;CIV/5;BDI/5;KEN/6;KEN/5;KEN/4"
12.425936,"ethnic_fairtreat","expo_reb_5yr_25km_bin","no_int",9567,9799.92378285231,9706.76480842849,7,"DZA/6;LBR/4;CIV/5;BDI/5;KEN/6;KEN/5;KEN/4"
